...1,2010 CS Code,2010 County Set Name,2010 County Set Description,FIPS State Code,FIPS County Code,2010 County Population,2010 Total CS Population
189,12CS017,Glades+Hendry+Okeechobee,Glades,12,043,12884,92020
,"","",Hendry,12,051,39140,
,"","",Okeechobee,12,093,39996,
,"","","","","",,
190,12CS018,Hamilton+Lafayette+Suwannee,Hamilton,12,047,14799,65220
,"","",Lafayette,12,067,8870,
,"","",Suwannee,12,121,41551,
,"","","","","",,
191,12CS019,Hernando,Hernando,12,053,172778,172778
,"","","","","",,
192,12CS020,Highlands,Highlands,12,055,98786,98786
,"","","","","",,
193,12CS021,Hillsborough,Hillsborough,12,057,1229226,1229226
,"","","","","",,
194,12CS022,Holmes+Walton,Holmes,12,059,19927,74970
,"","",Walton,12,131,55043,
,"","","","","",,
195,12CS023,Indian River,Indian River,12,061,138028,138028
,"","","","","",,
196,12CS024,Jackson+Washington,Jackson,12,063,49746,74642
,"","",Washington,12,133,24896,
,"","","","","",,
197,12CS025,Jefferson+Madison+Taylor,Jefferson,12,065,14761,56555
,"","",Madison,12,079,19224,
,"","",Taylor,12,123,22570,
,"","","","","",,
198,12CS026,Lake,Lake,12,069,297052,297052
,"","","","","",,
199,12CS027,Lee,Lee,12,071,618754,618754
,"","","","","",,
200,12CS028,Liberty and Nearby Counties,Calhoun,12,013,14625,81178
,"","",Franklin,12,037,11549,
,"","",Gulf,12,045,15863,
,"","",Liberty,12,077,8365,
,"","",Wakulla,12,129,30776,
,"","","","","",,
201,12CS029,Manatee,Manatee,12,081,322833,322833
,"","","","","",,
202,12CS030,Marion,Marion,12,083,331298,331298
,"","","","","",,
203,12CS031,Martin,Martin,12,085,146318,146318
,"","","","","",,
204,12CS032,Miami-Dade,Miami-Dade,12,086,2496435,2496435
,"","","","","",,
205,12CS033,Monroe,Monroe,12,087,73090,73090
,"","","","","",,
206,12CS034,Nassau,Nassau,12,089,73314,73314
,"","","","","",,
207,12CS035,Okaloosa,Okaloosa,12,091,180822,180822
,"","","","","",,
208,12CS036,Orange,Orange,12,095,1145956,1145956
,"","","","","",,
209,12CS037,Osceola,Osceola,12,097,268685,268685
,"","","","","",,
210,12CS038,Palm Beach,Palm Beach,12,099,1320134,1320134
,"","","","","",,
211,12CS039,Pasco,Pasco,12,101,464697,464697
,"","","","","",,
212,12CS040,Pinellas,Pinellas,12,103,916542,916542
,"","","","","",,
213,12CS041,Polk,Polk,12,105,602095,602095
,"","","","","",,
214,12CS042,Putnam,Putnam,12,107,74364,74364
,"","","","","",,
215,12CS043,St. Johns,St. Johns,12,109,190039,190039
,"","","","","",,
216,12CS044,St. Lucie,St. Lucie,12,111,277789,277789
,"","","","","",,
217,12CS045,Santa Rosa,Santa Rosa,12,113,151372,151372
,"","","","","",,
218,12CS046,Sarasota,Sarasota,12,115,379448,379448
,"","","","","",,
219,12CS047,Seminole,Seminole,12,117,422718,422718
,"","","","","",,
220,12CS048,Sumter,Sumter,12,119,93420,93420
,"","","","","",,
221,12CS049,Volusia,Volusia,12,127,494593,494593
,"","","","","",,
,"","",Georgia,"","",,9687653
,"","","","","",,
222,13CS001,Appling+Jeff Davis+Long+Wayne,Appling,13,001,18236,77867
,"","",Jeff Davis,13,161,15068,
,"","",Long,13,183,14464,
,"","",Wayne,13,305,30099,
,"","","","","",,
223,13CS002,Bacon+Ben Hill+Coffee+Irwin,Bacon,13,005,11096,80624
,"","",Ben Hill,13,017,17634,
,"","",Coffee,13,069,42356,
,"","",Irwin,13,155,9538,
,"","","","","",,
224,13CS003,Banks+Habersham,Banks,13,011,18395,61436
,"","",Habersham,13,137,43041,
,"","","","","",,
225,13CS004,Barrow,Barrow,13,013,69367,69367
,"","","","","",,
